Schachttyp,Max Sondenanzahl,Erlaubte HVB,Hinweis
GN R Nano,2,DA 63,Max 2 Sonden; HVB ≤ DA 63
GN R Mini,4,DA 63,Max 4 Sonden; HVB ≤ DA 63; 4 Sonden nur mit KH / KH
GN R Kompakt,6,DA 63|DA 75|DA 90,Max 6 Sonden; HVB ≤ DA 90
GN R Medium,10,DA 63|DA 75|DA 90|DA 110,Max 10 Sonden; HVB ≤ DA 110
GN 1,16,DA 63|DA 75|DA 90|DA 110|DA 125,Max 16 Sonden; HVB ≤ DA 125
GN 2,24,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160,Max 24 Sonden; HVB ≤ DA 160
GN X1,30,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,
GN X2,50,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,
GN X3,75,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,
GN X4,120,DA 63|DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,
