Kugelhahn,Artikelnummer,Artikelbezeichnung,Menge Statisch,Menge Formel,ET-HVB,ET-Sonden,KH-HVB
DN 25 / DA 32,2000852.0,Absperrventil Kunststoff - Kugelhahn DA 32 mm ohne Einlegeteil,,=sondenanzahl,,,
DN 25 / DA 32,2001167.0,Absperrventil - KST - ZUB - KH32 - Überwurfmutter - SKS,,=sondenanzahl*2,,,
DN 25 / DA 32,2001179.0,GN Einschweißteil - DA 63 mm,1.0,,DA 63,,
DN 25 / DA 32,2001177.0,GN Einschweißteil - DA 40 mm,,=sondenanzahl,,DA 40|DA 50,
DN 25 / DA 32,2001178.0,GN Einschweißteil - DA 32 mm,,=2,DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 32,
DN 25 / DA 32,8000415.0,Heizdorn-Reduktion DA 50 / 32,,=1,,DA 50,
,,,,,,,
DN 32 / DA 40,2000819.0,Absperrventil Kunststoff - Kugelhahn DA 40 mm ohne Einlegeteil,,=sondenanzahl,,DA 40|DA 50,
DN 32 / DA 40,2001286.0,Absperrventil Kunststoff - Kugelhahn DA 40 mm PE Stutzen kurz - Einlegeteil,2.0,,,DA 40|DA 50,
DN 32 / DA 40,8000416.0,Heizdorn-Reduktion DA 50 / 40,1.0,,,DA 50,
,,,,,,,
,,,,,,,
DN 40 / DA 50,2000821.0,Absperrventil Kunststoff - Kugelhahn DA 50 mm ohne Einlegeteil,,=sondenanzahl,,DA 50,DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355
DN 40 / DA 50,2000791.0,Absperrventil Kunststoff - Kugelhahn DA 50 mm PE Stutzen kurz - Einlegeteil,2.0,,,DA 50,
,,,,,,,
,,,,,,,
DN 50 / DA 63,2000820.0,Absperrventil Kunststoff - Kugelhahn DA 63 mm ohne Einlegeteil,,=sondenanzahl,,DA 63,DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355
DN 50 / DA 63,2000793.0,Absperrventil Kunststoff - Kugelhahn DA 63 mm PE Stutzen - Einlegeteil,2.0,,,DA 63,
